id,label,group,level
619,INTS2,human protein,3
620,INTS4,human protein,3
621,INTS5,human protein,3
622,INTS8,human protein,3
623,IPO11,human protein,3
624,IPO13,human protein,3
625,IPO8,human protein,3
626,IRAK1,human protein,3
627,ISG15,human protein,3
628,ITCH,human protein,3
629,ITGA3,human protein,3
630,ITGA6,human protein,3
631,ITGB1,human protein,3
632,ITM2B,human protein,3
633,ITM2C,human protein,3
634,ITPRIPL2,human protein,3
635,JAGN1,human protein,3
636,JAK2,human protein,3
637,JAKMIP1,human protein,3
638,JUND,human protein,3
639,KAPCA,human protein,3
640,KATNBL1,human protein,3
641,KDELR1,human protein,3
642,KDELR3,human protein,3
643,KDM6A,human protein,3
644,KHSRP,human protein,3
645,KIAA0319,human protein,3
646,KIAA0930,human protein,3
647,KIF5B,human protein,3
648,KIF5C,human protein,3
649,KLHDC2,human protein,3
650,KPCA,human protein,3
651,KRI1,human protein,3
652,KYNU,human protein,3
653,L2HGDH,human protein,3
654,LAPTM4A,human protein,3
655,LARP1,human protein,3
656,LARP4B,human protein,3
657,LARP7,human protein,3
658,LCLAT1,human protein,3
659,LDHA,human protein,3
660,LDHB,human protein,3
661,LDLR,human protein,3
662,LEMD3,human protein,3
663,LETMD1,human protein,3
664,LGALS1,human protein,3
665,LGALS3,human protein,3
666,LGR4,human protein,3
667,LMAN1,human protein,3
668,LMAN2,human protein,3
669,LMAN2L,human protein,3
670,LMBRD2,human protein,3
671,LMCD1,human protein,3
672,LOC101060567; PEX11B,human protein,3
673,LOX,human protein,3
674,LPAR1,human protein,3
675,LPCAT3,human protein,3
676,LPCAT4,human protein,3
677,LRBA,human protein,3
678,LRFN1,human protein,3
679,LRFN4,human protein,3
680,LRIG3,human protein,3
681,LRP10,human protein,3
682,LRP11,human protein,3
683,LRP12,human protein,3
684,LRP8,human protein,3
685,LRRC47,human protein,3
686,LRRC7,human protein,3
687,LRRC8A,human protein,3
688,LRRC8D,human protein,3
689,LRRN2,human protein,3
690,LSR,human protein,3
691,LSS,human protein,3
692,LTBP1,human protein,3
693,LTBR,human protein,3
694,LTN1,human protein,3
695,LUC7L2,human protein,3
696,LYAR,human protein,3
697,MALL,human protein,3
698,MAN1B1,human protein,3
699,MAN2A1,human protein,3
700,MAP4,human protein,3
701,MAP7D1,human protein,3
702,MAPRE1,human protein,3
703,MARCKS,human protein,3
704,MARK1,human protein,3
705,MARK2,human protein,3
706,MARK3,human protein,3
707,MAT2B,human protein,3
708,MAVS,human protein,3
709,MAZ,human protein,3
710,MBTPS2,human protein,3
711,MCFD2,human protein,3
712,MCM2,human protein,3
713,MCM3,human protein,3
714,MCM3AP,human protein,3
715,MCM7,human protein,3
716,MDH1,human protein,3
717,MDN1,human protein,3
718,MED24,human protein,3
719,MEPCE,human protein,3
720,MET,human protein,3
